Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2017,Travis,TX,Passenger,1,1,2,200,202,0.99
February 28 2018,Nantucket,MA,Passenger,1,0,1,4,5,20.00
July 31 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
November 30 2022,Cook,IL,Passenger,2,0,2,192,194,1.03
June 30 2019,Kitsap,WA,Truck,1,0,1,54080,54081,0.00
January 31 2023,Contra Costa,CA,Passenger,0,3,3,200,203,1.48
January 31 2022,Larimer,CO,Passenger,1,0,1,46,47,2.13
January 31 2019,Cameron,TX,Passenger,1,0,1,35,36,2.78
November 30 2020,Snohomish,WA,Passenger,4954,1821,6775,537748,544523,1.24
October 31 2024,Yakima,WA,Passenger,935,372,1307,162465,163772,0.80
July 31 2020,Franklin,WA,Passenger,65,78,143,60746,60889,0.23
November 30 2019,Salt Lake,UT,Passenger,1,0,1,210,211,0.47
November 30 2020,Orange,CA,Passenger,5,3,8,492,500,1.60
June 30 2021,Garfield,WA,Truck,0,0,0,996,996,0.00
October 31 2024,Loudoun,VA,Passenger,2,1,3,52,55,5.45
December 31 2017,Howard,MD,Passenger,0,2,2,89,91,2.20
November 30 2023,Mercer,NJ,Passenger,0,1,1,7,8,12.50
August 31 2023,Santa Clara,CA,Passenger,19,3,22,203,225,9.78
January 31 2023,Moore,NC,Passenger,0,1,1,111,112,0.89
May 31 2024,Kootenai,ID,Truck,1,0,1,21,22,4.55
October 31 2024,Sonoma,CA,Passenger,1,1,2,48,50,4.00
November 30 2021,Grays Harbor,WA,Truck,0,0,0,21416,21416,0.00
June 30 2020,Deschutes,OR,Passenger,4,0,4,148,152,2.63
January 31 2019,Charleston,SC,Passenger,1,0,1,125,126,0.79
June 30 2023,Polk,OR,Passenger,1,1,2,22,24,8.33
July 31 2024,Solano,CA,Passenger,5,0,5,125,130,3.85
June 30 2024,Hillsborough,FL,Passenger,3,1,4,83,87,4.60
August 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
May 31 2017,El Paso,CO,Passenger,2,1,3,815,818,0.37
June 30 2023,Fairfax,VA,Passenger,9,2,11,602,613,1.79
December 31 2020,Washoe,NV,Passenger,1,0,1,108,109,0.92
July 31 2024,Orange,CA,Passenger,5,1,6,275,281,2.14
May 31 2020,Arapahoe,CO,Passenger,1,0,1,139,140,0.71
December 31 2017,Pinal,AZ,Passenger,2,0,2,222,224,0.89
July 31 2017,Saratoga,NY,Passenger,1,1,2,73,75,2.67
October 31 2019,Frederick,MD,Passenger,1,1,2,75,77,2.60
December 31 2023,Hardin,KY,Passenger,1,0,1,61,62,1.61
March 31 2020,Adams,WA,Truck,0,0,0,5217,5217,0.00
October 31 2018,Saratoga,NY,Passenger,1,0,1,58,59,1.69
December 31 2018,Douglas,NE,Passenger,0,1,1,70,71,1.41
October 31 2024,Arlington,VA,Passenger,1,0,1,101,102,0.98
April 30 2020,Thurston,WA,Passenger,1139,729,1868,197296,199164,0.94
November 30 2021,Adams,WA,Truck,0,0,0,5420,5420,0.00
October 31 2021,Kings,NY,Passenger,1,0,1,77,78,1.28
January 31 2021,Essex,MA,Passenger,1,0,1,19,20,5.00
May 31 2022,Lewis,WA,Passenger,229,175,404,59425,59829,0.68
January 31 2018,Okanogan,WA,Passenger,7,19,26,25693,25719,0.10
March 31 2020,Contra Costa,CA,Passenger,3,3,6,322,328,1.83
November 30 2020,Lee,FL,Passenger,1,0,1,47,48,2.08
April 30 2020,Clark,NV,Passenger,4,3,7,725,732,0.96
March 31 2021,Harrison,MS,Passenger,2,0,2,57,59,3.39
April 30 2019,Tulsa,OK,Passenger,1,0,1,55,56,1.79
February 29 2024,Rockingham,NH,Passenger,1,0,1,12,13,7.69
June 30 2023,Hamilton,OH,Passenger,1,0,1,35,36,2.78
February 28 2022,Prince William,VA,Passenger,1,3,4,216,220,1.82
March 31 2020,Shelby,TN,Passenger,0,1,1,93,94,1.06
June 30 2024,Hardin,KY,Passenger,1,0,1,59,60,1.67
March 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
February 28 2019,Thurston,WA,Truck,0,0,0,54883,54883,0.00
November 30 2022,Grant,WA,Truck,4,0,4,27948,27952,0.01
December 31 2021,Rockingham,NH,Passenger,1,0,1,22,23,4.35
August 31 2023,Tooele,UT,Passenger,1,0,1,13,14,7.14
September 30 2018,Okanogan,WA,Passenger,10,20,30,26046,26076,0.12
November 30 2023,Skagit,WA,Passenger,1310,473,1783,88740,90523,1.97
November 30 2020,Boulder,CO,Passenger,1,1,2,49,51,3.92
October 31 2021,Riverside,CA,Passenger,6,0,6,564,570,1.05
March 31 2019,Ada,ID,Passenger,0,2,2,327,329,0.61
July 31 2021,Baltimore,MD,Passenger,1,0,1,115,116,0.86
April 30 2018,Kootenai,ID,Passenger,0,1,1,230,231,0.43
May 31 2023,Kauai,HI,Passenger,1,1,2,15,17,11.76
October 31 2024,Shelby,TN,Passenger,1,1,2,47,49,4.08
March 31 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
October 31 2018,Nueces,TX,Passenger,1,1,2,91,93,2.15
May 31 2017,New Haven,CT,Passenger,0,1,1,59,60,1.67
June 30 2022,Norfolk,MA,Passenger,1,0,1,29,30,3.33
November 30 2018,Pacific,WA,Truck,0,0,0,7605,7605,0.00
October 31 2022,Clallam,WA,Truck,7,0,7,21865,21872,0.03
June 30 2022,Arapahoe,CO,Passenger,0,1,1,101,102,0.98
