Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2018,Chelan,WA,Truck,0,0,0,21759,21759,0.00
May 31 2019,Virginia Beach,VA,Passenger,1,1,2,704,706,0.28
November 30 2018,Montgomery,AL,Passenger,1,0,1,49,50,2.00
July 31 2023,Essex,NJ,Passenger,2,0,2,8,10,20.00
August 31 2022,Lexington,SC,Passenger,1,0,1,23,24,4.17
August 31 2020,District of Columbia,DC,Passenger,1,1,2,187,189,1.06
May 31 2021,Grays Harbor,WA,Truck,0,0,0,21418,21418,0.00
September 30 2024,Grant,WA,Truck,36,0,36,27652,27688,0.13
January 31 2019,Moore,NC,Passenger,0,1,1,182,183,0.55
August 31 2023,Onslow,NC,Passenger,0,1,1,138,139,0.72
April 30 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
May 31 2020,Charleston,SC,Passenger,1,0,1,109,110,0.91
August 31 2022,Autauga,AL,Passenger,1,0,1,13,14,7.14
November 30 2020,Nassau,FL,Passenger,1,0,1,35,36,2.78
December 31 2020,El Dorado,CA,Passenger,1,0,1,38,39,2.56
October 31 2017,Walla Walla,WA,Truck,0,0,0,13254,13254,0.00
July 31 2018,Santa Clara,CA,Passenger,7,0,7,384,391,1.79
July 31 2020,Arapahoe,CO,Passenger,1,0,1,136,137,0.73
August 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
May 31 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
July 31 2017,Thurston,WA,Passenger,417,350,767,186980,187747,0.41
March 31 2017,Klickitat,WA,Passenger,21,23,44,14780,14824,0.30
July 31 2022,Stevens,WA,Passenger,73,54,127,29979,30106,0.42
November 30 2020,San Juan,WA,Passenger,355,106,461,14005,14466,3.19
November 30 2020,Prince George's,MD,Passenger,2,1,3,163,166,1.81
September 30 2020,Ferry,WA,Truck,0,0,0,3581,3581,0.00
July 31 2024,Chesterfield,VA,Passenger,1,0,1,31,32,3.12
December 31 2019,Whitman,WA,Passenger,42,46,88,22660,22748,0.39
May 31 2019,Goochland,VA,Passenger,1,1,2,266,268,0.75
January 31 2023,Hudson,NJ,Passenger,2,0,2,32,34,5.88
January 31 2020,Cowlitz,WA,Truck,0,0,0,29021,29021,0.00
August 31 2020,Denton,TX,Passenger,1,0,1,99,100,1.00
August 31 2024,Kent,DE,Passenger,1,0,1,36,37,2.70
January 31 2023,Deschutes,OR,Passenger,2,0,2,92,94,2.13
December 31 2023,Snohomish,WA,Truck,281,0,281,120493,120774,0.23
May 31 2022,Cowlitz,WA,Passenger,322,175,497,70610,71107,0.70
May 31 2024,Duval,FL,Passenger,1,0,1,205,206,0.49
September 30 2024,Sacramento,CA,Passenger,1,0,1,130,131,0.76
December 31 2019,Lake,CA,Passenger,0,1,1,12,13,7.69
February 29 2020,Twin Falls,ID,Passenger,0,1,1,31,32,3.12
April 30 2023,Orange,NC,Passenger,1,0,1,6,7,14.29
February 29 2024,Newport,RI,Passenger,0,2,2,52,54,3.70
December 31 2020,Island,WA,Truck,0,0,0,21325,21325,0.00
December 31 2019,Travis,TX,Passenger,4,2,6,212,218,2.75
May 31 2019,Manassas,VA,Passenger,0,1,1,8,9,11.11
August 31 2022,Henrico,VA,Passenger,0,1,1,20,21,4.76
January 31 2024,Okanogan,WA,Passenger,172,78,250,26111,26361,0.95
November 30 2018,Nassau,NY,Passenger,3,0,3,39,42,7.14
August 31 2024,Penobscot,ME,Passenger,0,1,1,3,4,25.00
January 31 2024,Sacramento,CA,Truck,1,0,1,30,31,3.23
February 28 2019,Clark,WA,Truck,0,0,0,79941,79941,0.00
June 30 2024,Kootenai,ID,Truck,1,0,1,20,21,4.76
November 30 2018,Fairfax,VA,Passenger,2,1,3,808,811,0.37
July 31 2024,El Paso,CO,Passenger,7,3,10,413,423,2.36
September 30 2022,Alexandria,VA,Passenger,4,0,4,106,110,3.64
September 30 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
January 31 2024,San Benito,CA,Passenger,1,0,1,6,7,14.29
July 31 2024,Williamsburg,VA,Passenger,0,1,1,2,3,33.33
January 31 2018,King,WA,Truck,8,1,9,184742,184751,0.00
August 31 2021,Goochland,VA,Passenger,4,2,6,249,255,2.35
June 30 2023,Wichita,TX,Passenger,1,0,1,34,35,2.86
November 30 2020,Nueces,TX,Passenger,1,0,1,86,87,1.15
February 28 2023,Pinal,AZ,Passenger,0,1,1,114,115,0.87
January 31 2020,Shasta,CA,Passenger,1,0,1,36,37,2.70
December 31 2019,Spokane,WA,Truck,1,0,1,96341,96342,0.00
March 31 2023,Skamania,WA,Truck,1,0,1,3855,3856,0.03
June 30 2021,Clark,NV,Passenger,6,3,9,680,689,1.31
April 30 2023,Gwinnett,GA,Passenger,1,0,1,59,60,1.67
November 30 2022,Burlington,NJ,Passenger,0,2,2,98,100,2.00
November 30 2017,New London,CT,Passenger,1,0,1,241,242,0.41
December 31 2019,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
December 31 2023,Penobscot,ME,Passenger,0,1,1,5,6,16.67
September 30 2023,Grays Harbor,WA,Passenger,339,206,545,48089,48634,1.12
September 30 2024,Lewis,WA,Passenger,525,408,933,58834,59767,1.56
May 31 2017,Franklin,WA,Truck,0,0,0,18084,18084,0.00
February 28 2023,Mason,WA,Truck,9,0,9,20845,20854,0.04
December 31 2023,Lane,OR,Passenger,0,2,2,67,69,2.90
February 28 2021,Collier,FL,Passenger,1,0,1,21,22,4.55
May 31 2023,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
July 31 2019,Collier,FL,Passenger,1,0,1,20,21,4.76
February 29 2024,Kent,DE,Passenger,1,0,1,39,40,2.50
October 31 2021,Thurston,WA,Passenger,1797,921,2718,196722,199440,1.36
June 30 2018,Whitman,WA,Passenger,19,28,47,22596,22643,0.21
September 30 2018,Kitsap,WA,Truck,1,0,1,53533,53534,0.00
February 28 2021,Kitsap,WA,Truck,0,0,0,54238,54238,0.00
December 31 2021,Arlington,VA,Passenger,1,0,1,144,145,0.69
July 31 2022,Anchorage,AK,Passenger,2,0,2,136,138,1.45
July 31 2020,Riverside,CA,Passenger,3,1,4,633,637,0.63
November 30 2021,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
February 28 2019,Frederick,MD,Passenger,1,1,2,76,78,2.56
September 30 2024,Miami-Dade,FL,Passenger,1,0,1,44,45,2.22
July 31 2021,Walla Walla,WA,Passenger,115,76,191,36530,36721,0.52
December 31 2019,Franklin,WA,Truck,0,0,0,19772,19772,0.00
July 31 2023,Dorchester,SC,Passenger,1,0,1,45,46,2.17
July 31 2019,Benton,WA,Passenger,270,289,559,134109,134668,0.42
August 31 2022,Montgomery,MD,Passenger,4,2,6,207,213,2.82
July 31 2019,Ramsey,MN,Passenger,1,0,1,47,48,2.08
July 31 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
July 31 2024,Marion,OR,Passenger,1,0,1,50,51,1.96
November 30 2019,Washtenaw,MI,Passenger,1,0,1,43,44,2.27
April 30 2023,Currituck,NC,Passenger,1,0,1,19,20,5.00
September 30 2018,Kittitas,WA,Passenger,56,36,92,29194,29286,0.31
April 30 2020,San Juan,WA,Passenger,295,88,383,14146,14529,2.64
January 31 2017,Volusia,FL,Passenger,0,1,1,52,53,1.89
July 31 2023,Washoe,NV,Passenger,2,0,2,58,60,3.33
October 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
March 31 2023,Essex,NJ,Passenger,2,0,2,10,12,16.67
January 31 2024,Cowlitz,WA,Truck,14,0,14,27875,27889,0.05
December 31 2021,Chelan,WA,Truck,0,0,0,23083,23083,0.00
August 31 2021,Charles,MD,Passenger,1,1,2,72,74,2.70
July 31 2022,Bryan,GA,Passenger,0,1,1,37,38,2.63
November 30 2022,Dallas,TX,Passenger,1,0,1,114,115,0.87
June 30 2020,Harford,MD,Passenger,0,1,1,61,62,1.61
March 31 2018,King,WA,Truck,7,1,8,183655,183663,0.00
October 31 2020,Benton,WA,Truck,0,0,0,43048,43048,0.00
February 29 2024,San Diego,CA,Truck,1,0,1,421,422,0.24
October 31 2024,Columbia,WA,Truck,1,0,1,1539,1540,0.06
April 30 2022,Cowlitz,WA,Passenger,314,172,486,70823,71309,0.68
June 30 2017,Jefferson,NY,Passenger,1,1,2,249,251,0.80
December 31 2018,Howard,MD,Passenger,0,1,1,91,92,1.09
July 31 2019,Valencia,NM,Passenger,1,0,1,8,9,11.11
June 30 2021,Montgomery,MD,Passenger,3,1,4,233,237,1.69
April 30 2020,Denver,CO,Passenger,1,0,1,124,125,0.80
July 31 2024,Harris,TX,Passenger,1,2,3,109,112,2.68
November 30 2019,Manassas,VA,Passenger,0,1,1,7,8,12.50
January 31 2021,Spokane,WA,Truck,0,0,0,100814,100814,0.00
October 31 2023,Clark,WA,Truck,122,0,122,81033,81155,0.15
February 29 2020,Kittitas,WA,Truck,0,0,0,14648,14648,0.00
May 31 2023,Lincoln,WA,Truck,0,0,0,4843,4843,0.00
March 31 2017,Lewis,WA,Truck,0,0,0,24819,24819,0.00
December 31 2018,Wahkiakum,WA,Truck,0,0,0,1722,1722,0.00
November 30 2020,Hennepin,MN,Passenger,2,0,2,94,96,2.08
October 31 2019,Goochland,VA,Passenger,3,1,4,283,287,1.39
July 31 2018,Latah,ID,Passenger,0,1,1,77,78,1.28
December 31 2021,New Haven,CT,Passenger,0,2,2,31,33,6.06
July 31 2022,Mercer,NJ,Passenger,0,1,1,11,12,8.33
August 31 2024,Garfield,OK,Passenger,1,0,1,16,17,5.88
February 29 2020,Carroll,NH,Passenger,0,1,1,4,5,20.00
April 30 2022,Eagle,CO,Passenger,1,0,1,6,7,14.29
June 30 2021,Grant,WA,Passenger,107,89,196,66917,67113,0.29
September 30 2023,Grant,WA,Passenger,328,149,477,67293,67770,0.70
December 31 2017,Jefferson,WA,Passenger,121,74,195,24273,24468,0.80
January 31 2024,Wahkiakum,WA,Passenger,32,22,54,3041,3095,1.74
July 31 2024,Walla Walla,WA,Passenger,312,165,477,35053,35530,1.34
September 30 2024,Kitsap,WA,Truck,191,0,191,50779,50970,0.37
September 30 2022,Yakima,WA,Truck,3,0,3,61345,61348,0.00
February 28 2021,Honolulu,HI,Passenger,5,3,8,466,474,1.69
October 31 2023,Monterey,CA,Passenger,0,3,3,126,129,2.33
November 30 2020,Alameda,CA,Passenger,3,0,3,278,281,1.07
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,135,136,0.74
February 28 2023,San Francisco,CA,Passenger,3,0,3,78,81,3.70
January 31 2023,Stafford,VA,Passenger,2,1,3,88,91,3.30
May 31 2024,Contra Costa,CA,Passenger,2,1,3,137,140,2.14
September 30 2017,Thurston,WA,Truck,0,0,0,53484,53484,0.00
February 29 2024,Island,WA,Passenger,1355,495,1850,60870,62720,2.95
November 30 2020,,,Passenger,5,1,6,363,369,1.63
March 31 2017,Hamilton,TN,Passenger,1,0,1,28,29,3.45
July 31 2018,Kent,MI,Passenger,0,1,1,29,30,3.33
March 31 2022,Adams,WA,Passenger,16,11,27,12957,12984,0.21
August 31 2021,Columbia,WA,Passenger,7,2,9,2456,2465,0.37
April 30 2020,Walla Walla,WA,Truck,0,0,0,13618,13618,0.00
August 31 2021,St. Louis,MO,Passenger,1,0,1,85,86,1.16
April 30 2018,Garfield,OK,Passenger,1,0,1,20,21,4.76
October 31 2022,Adams,WA,Passenger,22,12,34,12999,13033,0.26
August 31 2018,Clallam,WA,Truck,0,0,0,21478,21478,0.00
November 30 2017,El Paso,CO,Passenger,2,1,3,771,774,0.39
March 31 2018,Ramsey,MN,Passenger,1,0,1,39,40,2.50
March 31 2022,Sussex,NJ,Passenger,1,0,1,2,3,33.33
December 31 2020,Yakima,WA,Truck,0,0,0,60962,60962,0.00
August 31 2019,Middlesex,MA,Passenger,1,0,1,114,115,0.87
March 31 2023,Pulaski,AR,Passenger,3,0,3,29,32,9.38
August 31 2017,Whitman,WA,Passenger,11,22,33,22124,22157,0.15
August 31 2021,Tarrant,TX,Passenger,2,0,2,153,155,1.29
August 31 2024,Santa Cruz,CA,Passenger,1,0,1,16,17,5.88
June 30 2019,Caddo,LA,Passenger,0,1,1,25,26,3.85
October 31 2020,Clallam,WA,Truck,1,0,1,21757,21758,0.00
June 30 2023,Madison,IL,Passenger,2,0,2,16,18,11.11
July 31 2020,Boone,MO,Passenger,0,1,1,10,11,9.09
February 28 2021,Cameron,TX,Passenger,1,0,1,23,24,4.17
December 31 2022,Monterey,CA,Passenger,0,4,4,144,148,2.70
January 31 2023,Ferry,WA,Passenger,24,4,28,4334,4362,0.64
January 31 2017,Okanogan,WA,Truck,0,0,0,16371,16371,0.00
December 31 2021,Kootenai,ID,Passenger,0,1,1,199,200,0.50
August 31 2024,Rock Island,IL,Passenger,0,1,1,10,11,9.09
November 30 2019,Douglas,WA,Passenger,65,38,103,28274,28377,0.36
June 30 2019,Pend Oreille,WA,Passenger,4,5,9,9523,9532,0.09
September 30 2022,Cook,IL,Passenger,2,0,2,196,198,1.01
September 30 2019,Polk,FL,Passenger,1,0,1,77,78,1.28
January 31 2023,Nassau,NY,Passenger,3,0,3,29,32,9.38
December 31 2023,Atlantic,NJ,Passenger,1,0,1,8,9,11.11
April 30 2018,Bexar,TX,Passenger,2,2,4,788,792,0.51
January 31 2022,Okanogan,WA,Truck,0,0,0,16674,16674,0.00
March 31 2024,Polk,OR,Passenger,1,1,2,18,20,10.00
March 31 2023,Whatcom,WA,Passenger,2282,837,3119,147517,150636,2.07
November 30 2017,Mason,WA,Truck,0,0,0,19536,19536,0.00
December 31 2022,Berkeley,SC,Passenger,0,1,1,125,126,0.79
June 30 2024,St. Mary's,MD,Passenger,4,0,4,160,164,2.44
July 31 2019,Sussex,NJ,Passenger,1,0,1,2,3,33.33
March 31 2022,Okanogan,WA,Truck,0,0,0,16677,16677,0.00
July 31 2023,Skagit,WA,Truck,23,0,23,31824,31847,0.07
May 31 2017,Bexar,TX,Passenger,1,0,1,984,985,0.10
July 31 2023,Multnomah,OR,Passenger,2,2,4,480,484,0.83
February 28 2019,Maui,HI,Passenger,2,0,2,51,53,3.77
August 31 2020,Jefferson,CO,Passenger,0,1,1,56,57,1.75
July 31 2024,Ada,ID,Passenger,2,0,2,90,92,2.17
May 31 2023,Pend Oreille,WA,Truck,0,0,0,5614,5614,0.00
June 30 2023,Essex,MA,Passenger,1,0,1,12,13,7.69
July 31 2018,Pierce,WA,Passenger,1262,1194,2456,533293,535749,0.46
February 28 2023,Riverside,CA,Passenger,8,0,8,460,468,1.71
December 31 2020,Orange,FL,Passenger,1,0,1,122,123,0.81
February 28 2018,Prince George,VA,Passenger,0,1,1,74,75,1.33
February 28 2022,San Luis Obispo,CA,Passenger,1,0,1,64,65,1.54
September 30 2023,San Luis Obispo,CA,Passenger,1,0,1,48,49,2.04
September 30 2022,Autauga,AL,Passenger,1,0,1,14,15,6.67
April 30 2021,Putnam,TN,Passenger,0,1,1,1,2,50.00
February 28 2023,Snohomish,WA,Passenger,10916,2836,13752,529009,542761,2.53
November 30 2020,Montgomery,OH,Passenger,0,1,1,52,53,1.89
September 30 2018,Beaufort,SC,Passenger,1,0,1,41,42,2.38
June 30 2018,,,Passenger,2,2,4,421,425,0.94
September 30 2023,Columbia,OR,Passenger,1,0,1,11,12,8.33
July 31 2020,Hawaii,HI,Passenger,1,0,1,60,61,1.64
September 30 2021,Rockingham,NH,Passenger,1,0,1,24,25,4.00
May 31 2019,Lake,FL,Passenger,1,0,1,22,23,4.35
February 28 2021,Whitman,WA,Passenger,53,46,99,21823,21922,0.45
November 30 2021,San Diego,CA,Passenger,19,5,24,2587,2611,0.92
February 28 2019,Lee,FL,Passenger,1,0,1,52,53,1.89
January 31 2021,Walla Walla,WA,Truck,0,0,0,13890,13890,0.00
December 31 2021,Burlington,NJ,Passenger,0,1,1,112,113,0.88
February 28 2023,Columbia,OR,Passenger,1,0,1,13,14,7.14
October 31 2019,Harrison,MS,Passenger,1,0,1,64,65,1.54
September 30 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
March 31 2020,Pierce,WA,Passenger,2309,1691,4000,550753,554753,0.72
July 31 2020,Walla Walla,WA,Truck,0,0,0,13752,13752,0.00
March 31 2021,Duval,FL,Passenger,0,2,2,363,365,0.55
June 30 2019,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
March 31 2022,Spartanburg,SC,Passenger,0,1,1,42,43,2.33
August 31 2018,Volusia,FL,Passenger,0,1,1,37,38,2.63
December 31 2017,Morris,NJ,Passenger,1,0,1,20,21,4.76
June 30 2020,Whitman,WA,Passenger,44,48,92,22121,22213,0.41
February 28 2017,Shoshone,ID,Passenger,0,1,1,82,83,1.20
May 31 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
June 30 2021,Wichita,TX,Passenger,1,0,1,42,43,2.33
May 31 2021,Polk,FL,Passenger,1,0,1,71,72,1.39
September 30 2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
April 30 2023,Camden,NJ,Passenger,0,1,1,12,13,7.69
November 30 2021,Lincoln,WA,Passenger,7,16,23,7683,7706,0.30
October 31 2017,Prince George's,MD,Passenger,0,1,1,183,184,0.54
January 31 2020,Arapahoe,CO,Passenger,1,0,1,150,151,0.66
April 30 2022,San Mateo,CA,Passenger,3,0,3,93,96,3.12
March 31 2020,King,WA,Truck,5,1,6,182351,182357,0.00
March 31 2020,Los Angeles,CA,Passenger,6,11,17,1079,1096,1.55
May 31 2017,Orange,CA,Passenger,3,1,4,660,664,0.60
January 31 2022,Greene,MO,Passenger,0,1,1,32,33,3.03
January 31 2020,San Francisco,CA,Passenger,2,2,4,107,111,3.60
February 28 2019,Virginia Beach,VA,Passenger,2,1,3,690,693,0.43
March 31 2022,Skamania,WA,Passenger,65,45,110,8250,8360,1.32
March 31 2017,Okaloosa,FL,Passenger,1,0,1,193,194,0.52
July 31 2024,Pulaski,AR,Passenger,1,0,1,20,21,4.76
March 31 2019,Garfield,WA,Truck,0,0,0,953,953,0.00
March 31 2022,Carroll,MD,Passenger,0,1,1,17,18,5.56
March 31 2023,DuPage,IL,Passenger,2,1,3,38,41,7.32
December 31 2020,Juneau,AK,Passenger,0,1,1,28,29,3.45
December 31 2022,Fredericksburg,VA,Passenger,1,0,1,6,7,14.29
March 31 2017,Spokane,WA,Truck,1,0,1,90241,90242,0.00
November 30 2017,Honolulu,HI,Passenger,2,2,4,578,582,0.69
July 31 2020,Shelby,TN,Passenger,0,1,1,90,91,1.10
February 28 2022,Douglas,WA,Passenger,122,55,177,28542,28719,0.62
December 31 2019,Grays Harbor,WA,Truck,0,0,0,20762,20762,0.00
October 31 2022,St. Louis,MO,Passenger,2,0,2,67,69,2.90
September 30 2024,Stafford,VA,Passenger,2,0,2,56,58,3.45
November 30 2020,Howard,IN,Passenger,0,1,1,4,5,20.00
November 30 2020,Chelan,WA,Passenger,271,84,355,54362,54717,0.65
March 31 2021,Lake,IL,Passenger,2,0,2,165,167,1.20
November 30 2020,Denver,CO,Passenger,1,0,1,119,120,0.83
August 31 2020,Oldham,KY,Passenger,0,1,1,5,6,16.67
November 30 2021,Greene,MO,Passenger,0,1,1,33,34,2.94
April 30 2020,Snohomish,WA,Truck,0,0,0,123286,123286,0.00
August 31 2021,Jefferson,WA,Truck,0,0,0,9609,9609,0.00
November 30 2019,Riverside,CA,Passenger,4,1,5,654,659,0.76
March 31 2019,District of Columbia,DC,Passenger,1,1,2,195,197,1.02
April 30 2017,DeKalb,GA,Passenger,1,0,1,85,86,1.16
August 31 2024,Doña Ana,NM,Passenger,1,0,1,9,10,10.00
September 30 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
December 31 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
November 30 2021,Wahkiakum,WA,Passenger,17,10,27,3090,3117,0.87
August 31 2023,Palm Beach,FL,Passenger,2,1,3,53,56,5.36
February 29 2024,Frederick,MD,Passenger,1,1,2,48,50,4.00
June 30 2019,Kitsap,WA,Passenger,1050,605,1655,180739,182394,0.91
February 28 2023,Wahkiakum,WA,Passenger,25,15,40,3043,3083,1.30
January 31 2021,Hawaii,HI,Passenger,1,0,1,56,57,1.75
February 28 2022,Carroll,MD,Passenger,0,1,1,17,18,5.56
November 30 2017,Adams,WA,Truck,0,0,0,5139,5139,0.00
April 30 2022,Brown,WI,Passenger,1,0,1,8,9,11.11
October 31 2018,Fresno,CA,Passenger,1,0,1,194,195,0.51
January 31 2018,Clark,WA,Passenger,873,599,1472,305228,306700,0.48
June 30 2022,Spokane,WA,Passenger,1597,845,2442,324654,327096,0.75
August 31 2020,Thurston,WA,Truck,0,0,0,55928,55928,0.00
March 31 2018,San Juan,WA,Truck,0,0,0,5657,5657,0.00
December 31 2017,Honolulu,HI,Passenger,2,2,4,576,580,0.69
January 31 2022,Jefferson,WA,Truck,0,0,0,9569,9569,0.00
January 31 2017,Collin,TX,Passenger,0,1,1,161,162,0.62
March 31 2017,Wayne,MI,Passenger,0,1,1,74,75,1.33
May 31 2017,Dale,AL,Passenger,0,1,1,62,63,1.59
November 30 2022,Thurston,WA,Passenger,2549,1112,3661,191824,195485,1.87
October 31 2020,Kitsap,WA,Passenger,1465,729,2194,179539,181733,1.21
May 31 2023,Snohomish,WA,Truck,161,0,161,121519,121680,0.13
July 31 2024,Tom Green,TX,Passenger,0,1,1,17,18,5.56
November 30 2020,Dallas,TX,Passenger,1,0,1,191,192,0.52
April 30 2019,Contra Costa,CA,Passenger,2,2,4,381,385,1.04
November 30 2023,Pinal,AZ,Passenger,2,1,3,84,87,3.45
February 28 2017,Volusia,FL,Passenger,0,1,1,50,51,1.96
March 31 2018,Palm Beach,FL,Passenger,0,2,2,88,90,2.22
November 30 2019,Maui,HI,Passenger,2,0,2,44,46,4.35
October 31 2020,Kings,NY,Passenger,1,0,1,69,70,1.43
June 30 2024,Hardin,KY,Truck,1,0,1,18,19,5.26
July 31 2018,El Paso,TX,Passenger,1,0,1,503,504,0.20
May 31 2019,San Juan,WA,Truck,0,0,0,5849,5849,0.00
April 30 2024,Allegheny,PA,Passenger,3,0,3,50,53,5.66
December 31 2021,Henrico,VA,Passenger,0,1,1,21,22,4.55
November 30 2020,El Paso,TX,Passenger,3,0,3,401,404,0.74
November 30 2018,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
July 31 2018,Snohomish,WA,Passenger,2403,1294,3697,522503,526200,0.70
August 31 2018,Yakima,WA,Passenger,67,92,159,164181,164340,0.10
August 31 2024,Prince William,VA,Passenger,2,4,6,133,139,4.32
December 31 2022,Okanogan,WA,Passenger,96,52,148,26137,26285,0.56
July 31 2024,Jefferson,WA,Truck,28,0,28,9081,9109,0.31
February 29 2024,Harford,MD,Passenger,1,1,2,45,47,4.26
March 31 2022,Sonoma,CA,Passenger,0,1,1,91,92,1.09
June 30 2022,Palm Beach,FL,Passenger,1,1,2,60,62,3.23
July 31 2021,Montgomery,MD,Passenger,3,1,4,227,231,1.73
August 31 2018,Tulsa,OK,Passenger,1,0,1,53,54,1.85
February 28 2022,Philadelphia,PA,Passenger,1,0,1,48,49,2.04
May 31 2024,King,WA,Passenger,77998,18956,96954,1306710,1403664,6.91
July 31 2021,Okanogan,WA,Passenger,64,43,107,26518,26625,0.40
December 31 2021,Douglas,WA,Truck,0,0,0,12690,12690,0.00
April 30 2020,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
May 31 2023,York,VA,Passenger,1,0,1,79,80,1.25
June 30 2017,Tarrant,TX,Passenger,1,0,1,254,255,0.39
June 30 2020,Collin,TX,Passenger,2,1,3,134,137,2.19
April 30 2024,Rock Island,IL,Passenger,0,1,1,10,11,9.09
March 31 2024,Portsmouth,VA,Passenger,0,2,2,56,58,3.45
March 31 2020,Lake,CA,Passenger,0,1,1,11,12,8.33
March 31 2022,Stevens,WA,Passenger,61,50,111,30021,30132,0.37
January 31 2023,Charleston,SC,Passenger,1,2,3,64,67,4.48
April 30 2020,Dakota,MN,Passenger,0,1,1,29,30,3.33
September 30 2018,Broward,FL,Passenger,1,1,2,139,141,1.42
March 31 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
February 29 2020,Monroe,IL,Passenger,1,0,1,3,4,25.00
January 31 2017,Pacific,WA,Truck,0,0,0,7506,7506,0.00
April 30 2020,Grays Harbor,WA,Truck,0,0,0,20718,20718,0.00
December 31 2019,Klickitat,WA,Truck,0,0,0,8313,8313,0.00
July 31 2023,Washington,OR,Passenger,1,0,1,258,259,0.39
August 31 2021,Yamhill,OR,Passenger,1,0,1,40,41,2.44
January 31 2021,New York,NY,Passenger,2,0,2,60,62,3.23
September 30 2024,James City,VA,Passenger,1,0,1,27,28,3.57
March 31 2021,Kitsap,WA,Passenger,1675,799,2474,179547,182021,1.36
August 31 2021,Walla Walla,WA,Passenger,121,82,203,36443,36646,0.55
September 30 2019,San Diego,CA,Passenger,11,4,15,2765,2780,0.54
February 29 2024,New London,CT,Passenger,1,3,4,164,168,2.38
August 31 2022,Mohave,AZ,Passenger,1,0,1,49,50,2.00
April 30 2022,Arapahoe,CO,Passenger,0,1,1,101,102,0.98
April 30 2022,DuPage,IL,Passenger,3,1,4,52,56,7.14
September 30 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
December 31 2021,Chelan,WA,Passenger,408,114,522,54650,55172,0.95
June 30 2021,St. Clair,IL,Passenger,1,0,1,146,147,0.68
February 28 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
February 28 2023,Maricopa,AZ,Passenger,18,5,23,921,944,2.44
August 31 2024,Jefferson,WA,Truck,29,0,29,9047,9076,0.32
April 30 2020,Maricopa,AZ,Passenger,9,9,18,1596,1614,1.12
September 30 2023,Pend Oreille,WA,Truck,0,0,0,5598,5598,0.00
August 31 2017,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
January 31 2021,Williamson,TX,Passenger,0,2,2,145,147,1.36
December 31 2020,Loudoun,VA,Passenger,1,0,1,78,79,1.27
February 28 2023,Essex,MA,Passenger,2,0,2,16,18,11.11
July 31 2020,Spokane,WA,Passenger,752,488,1240,316202,317442,0.39
October 31 2022,Clallam,WA,Passenger,457,256,713,49386,50099,1.42
June 30 2017,Wahkiakum,WA,Truck,0,0,0,1645,1645,0.00
May 31 2020,Dakota,MN,Passenger,0,1,1,29,30,3.33
December 31 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
October 31 2023,Yakima,WA,Passenger,597,285,882,166214,167096,0.53
July 31 2023,Cowlitz,WA,Passenger,486,223,709,69765,70474,1.01
August 31 2017,Pacific,WA,Passenger,10,9,19,15239,15258,0.12
May 31 2020,Dallas,TX,Passenger,1,0,1,214,215,0.47
April 30 2022,Walla Walla,WA,Truck,0,0,0,14011,14011,0.00
August 31 2023,District of Columbia,DC,Passenger,2,0,2,135,137,1.46
April 30 2023,Washoe,NV,Passenger,2,0,2,58,60,3.33
January 31 2018,Skagit,WA,Passenger,171,140,311,89761,90072,0.35
August 31 2024,Pacific,WA,Passenger,121,117,238,15495,15733,1.51
March 31 2023,New York,NY,Passenger,2,0,2,35,37,5.41
March 31 2022,Montgomery,TX,Passenger,1,0,1,44,45,2.22
September 30 2020,Nassau,NY,Passenger,4,0,4,35,39,10.26
May 31 2018,San Juan,WA,Passenger,141,56,197,14038,14235,1.38
February 29 2020,Franklin,WA,Passenger,58,75,133,61102,61235,0.22
January 31 2020,Grant,WA,Truck,0,0,0,27027,27027,0.00
October 31 2023,DeKalb,GA,Passenger,2,0,2,39,41,4.88
August 31 2021,Allen,IN,Passenger,1,0,1,20,21,4.76
March 31 2017,King,WA,Truck,8,1,9,189716,189725,0.00
